year_month,BDI_mean,BDI_std,BDI_month_end,BDI_max,BDI_min,BDI_momentum,Brent_USD_per_barrel,policy_rate,FAO_23012,FAO_23013,FAO_23014,BWA_FAO_CP_23012,BWA_FAO_CP_23013,BWA_FAO_CP_23014,KEN_FAO_CP_23012,KEN_FAO_CP_23013,KEN_FAO_CP_23014,NAM_FAO_CP_23012,NAM_FAO_CP_23013,NAM_FAO_CP_23014,ZAF_FAO_CP_23012,ZAF_FAO_CP_23013,ZAF_FAO_CP_23014,ZWE_FAO_CP_23012,ZWE_FAO_CP_23013,ZWE_FAO_CP_23014,BDI_mean_lag2,BDI_mean_lag3,BDI_mean_lag4,BDI_momentum_lag2,BDI_momentum_lag3,Brent_USD_per_barrel_lag1,Brent_USD_per_barrel_lag2,Brent_USD_per_barrel_lag3,policy_rate_lag6,policy_rate_lag12,ZAF_FAO_CP_23014_lag1,ZAF_FAO_CP_23014_lag2,FAO_23014_lag1,FAO_23014_lag2,FAO_23014_lag3,FAO_23014_lag12
2002-01,931.3181818181819,26.682233010780028,908.0,969.0,882.0,-23.31818181818187,19.42,12.5,36.229844,34.794327,5.239702,36.229844,34.794327,5.239702,26.777561,23.059345,0.610673,45.428372,37.264609,11.34455,50.215801,40.336674,12.303151,90.881358,92.983213,1.847484,855.2272727272727,898.0434782608696,945.2,12.772727272727252,-37.04347826086962,18.71,18.8,20.54,13.5,14.0,11.420016,8.523282,4.608727,3.592213,2.576765,3.602384
2002-02,959.55,44.38643107029335,1031.0,1031.0,908.0,71.45000000000005,20.28,12.5,36.280198,35.111444,5.618992,36.280198,35.111444,5.618992,26.812369,22.591119,1.590695,46.319124,38.036057,12.585233,50.822046,40.704449,12.113274,90.952391,93.12377,1.844644,870.1764705882352,855.2272727272727,898.0434782608696,5.823529411764753,12.772727272727252,19.42,18.71,18.8,13.5,14.0,12.303151,11.420016,5.239702,4.608727,3.592213,3.359312
2002-03,1064.75,18.07258755830597,1082.0,1086.0,1033.0,17.25,23.7,12.5,36.758563,35.428561,6.406912,36.758563,35.428561,6.406912,26.857415,22.560452,2.690896,47.209876,38.645378,13.32746,51.331859,41.472829,13.786453,91.023425,93.264328,1.841812,931.3181818181819,870.1764705882352,855.2272727272727,-23.31818181818187,5.823529411764753,20.28,19.42,18.71,13.5,14.0,12.113274,12.303151,5.618992,5.239702,4.608727,2.72
2002-04,1077.4761904761904,23.42780196181256,1027.0,1104.0,1027.0,-50.47619047619037,25.73,12.5,37.211751,35.745678,7.2758,37.211751,35.745678,7.2758,26.957744,22.652159,1.135065,47.299561,39.338864,14.300584,52.206799,42.25434,15.482588,91.094458,93.404885,1.83899,959.55,931.3181818181819,870.1764705882352,71.45000000000005,-23.31818181818187,23.7,20.28,19.42,13.5,14.0,13.786453,12.113274,6.406912,5.618992,5.239702,2.173337
2002-05,1032.909090909091,8.906440103917797,1042.0,1046.0,1016.0,9.090909090909008,25.35,12.5,37.312459,36.062794,7.724501,37.312459,36.062794,7.724501,27.365202,23.310834,2.262944,48.034245,39.701621,14.303788,52.46169,42.569574,15.562524,91.165491,93.545442,1.836176,1064.75,959.55,931.3181818181819,17.25,71.45000000000005,25.73,23.7,20.28,13.5,14.0,15.482588,13.786453,7.2758,6.406912,5.618992,2.028451
2002-06,995.0555555555555,13.764712865201306,1005.0,1027.0,978.0,9.944444444444457,24.08,12.5,37.463522,36.379911,8.50368,37.463522,36.379911,8.50368,27.709186,24.002786,3.787563,48.356112,40.333847,15.075749,52.909491,43.34452,17.779318,91.236525,93.686,1.833371,1077.4761904761904,1064.75,959.55,-50.47619047619037,17.25,25.35,25.73,23.7,13.5,14.0,15.562524,15.482588,7.724501,7.2758,6.406912,1.571092
2002-07,988.5652173913044,17.76827122852963,968.0,1007.0,962.0,-20.565217391304373,25.74,12.5,38.672022,36.697028,9.027878,38.672022,36.697028,9.027878,27.565859,24.023765,2.808799,48.836356,40.569098,14.711427,53.749981,43.935592,18.814753,91.307558,93.826557,1.830574,1032.909090909091,1077.4761904761904,1064.75,9.090909090909008,-50.47619047619037,24.08,25.35,25.73,12.5,13.5,17.779318,15.562524,8.50368,7.724501,7.2758,1.963865
2002-08,1001.7619047619048,22.407375486443637,1036.0,1036.0,970.0,34.238095238095184,26.65,12.5,39.150387,37.014145,9.716459,39.150387,37.014145,9.716459,27.537194,24.158485,2.401649,49.172711,40.742326,14.17975,54.039338,44.697392,20.299835,91.378591,93.967114,1.827786,995.0555555555555,1032.909090909091,1077.4761904761904,9.944444444444457,9.090909090909008,25.74,24.08,25.35,12.5,13.5,18.814753,17.779318,9.027878,8.50368,7.724501,2.199529
2002-09,1182.3809523809523,98.61971212210888,1367.0,1367.0,1039.0,184.6190476190477,28.4,12.5,39.402158,37.331262,10.486601,39.402158,37.331262,10.486601,27.445055,24.048674,2.356289,49.783108,41.683473,15.790585,54.514701,45.564289,21.477201,91.449624,94.107672,1.825006,988.5652173913044,995.0555555555555,1032.909090909091,-20.565217391304373,9.944444444444457,26.65,25.74,24.08,12.5,13.5,20.299835,18.814753,9.716459,9.027878,8.50368,2.356638
2002-10,1365.391304347826,24.622124438352234,1417.0,1417.0,1334.0,51.60869565217399,27.54,12.5,39.553221,37.648379,11.244292,39.553221,37.648379,11.244292,27.512624,24.016644,2.508148,50.402054,42.89215,18.110034,55.327629,46.339234,21.820997,91.520658,94.248229,1.822235,1001.7619047619048,988.5652173913044,995.0555555555555,34.238095238095184,-20.565217391304373,28.4,26.65,25.74,12.5,13.5,21.477201,20.299835,10.486601,9.716459,9.027878,2.576765
2002-11,1460.4285714285713,35.63084538510337,1560.0,1560.0,1428.0,99.57142857142867,24.34,12.5,39.830169,37.965496,11.139908,39.830169,37.965496,11.139908,27.63957,24.178011,3.416213,50.821185,43.556513,18.903513,55.988999,46.661034,20.538497,91.591691,94.388786,1.819472,1182.3809523809523,1001.7619047619048,988.5652173913044,184.6190476190477,34.238095238095184,27.54,28.4,26.65,12.5,13.5,21.820997,21.477201,11.244292,10.486601,9.716459,3.592213
2002-12,1665.9411764705883,60.922564157538474,1738.0,1739.0,1573.0,72.05882352941171,28.33,12.5,39.930877,38.282613,11.037445,39.930877,38.282613,11.037445,27.985602,24.681442,5.657176,50.882578,43.525146,17.800413,56.057883,46.818658,18.035244,91.662724,94.529344,1.816717,1365.391304347826,1182.3809523809523,1001.7619047619048,51.60869565217399,184.6190476190477,24.34,27.54,28.4,12.5,13.5,20.538497,21.820997,11.139908,11.244292,10.486601,4.608727
